text,annotation
মাগি কি হচেছ বাংলাদেশে তোর কি চোখ অনধ হয়ে গেছে তুই দেখতে পাস না তুই খালি বি এন পি নিয়ে আছিস কারন টা কি তোর আংলিগের রাজাকারদের ধরিস না কেন নাঔগুলো পুসে রাখতেছ ইলেকসনে কাজ দেবে তাই না,1
টিভিতে এই এক গুন গুন শুনতে শুনতে কান পচে গেল এটাকে তাড়াতাড়ি টাইম স্লট দিয়ে দূর করুন,1
অসাধারণ একটা নাটক খুবই ভালো লাগলো,0
ভালোই লাগলো নাটকের ইভেন্ট গুলো সুন্দর ছিলো,0
নাটকটি অসাধারণ একটি নাটক নাইছ বস,0
কিন্তু আপনারা তো লিফটের ভিতরে ঢুকে পারদের মত ছেদ্রায়ে যাচ্ছেন,0
"তুমাকে গালাগালি জন্য আমি জুতা দিয়ে মারমু সেফুদাদা বাংলাদেশে পাইলে হালা হারামি,আর হিরু আমাদের মনে ভাই তুই কি বলা লাগব হারামি হিরু ভাই তুমাকে ভালবাসি।",2
উনি কি ভারতের মন্ত্রী ? ভারতের মন্ত্রীগন এগুলো বলে। পাকিস্তানের সাথে তো আমাদের কোন সম্পর্ক নেই।,2
সুন্দর গল্পসুন্দর ডিরেকশন কিন্তু কাবির সিং থেকে অনেকটা ইন্সপায়ার্ড,0
ভালোবাসা অবিরাম প্রিয় তোমার প্রতি,0
তবে ভারতের পক্ষ নেওয়া হল কেন?,2
শুধু এই মিরপুরের ৩ জনকে দেখে এই কথা বলছি না... কয়েকদিন আগে নাখালপাড়া থেকে মাইক্রোবাস ভর্তি করে একটা গ্রুপ এসেছিল,0
এমন কুতায়া কুতায়া হাটতাছস্.. মনে হয় তোর পুটকির ভিতরে লাল কাঁকড়া ঢোকছে,1
বাথরুমের হিসাব নিলে দেখা যাবে বান্দা বছরখানেক লাল বালতিটার দিকে তাকায়েই কাটাইসে,0
ঢাকার ২ জন মেয়র খুব ধুমধাম করে নির্বাচিত হলেন আজ প্রায় ১ বছর হতে চলল,0
পুয়ের্তো রিকোর এক মেয়ে দৌড়াতে যেয়ে পায়ে ব্যাথা পেলো... কাল তার দলগত ৪ x ১০০ মিটার রিলের ফাইনাল ইভেন্ট ... কি করবে?,0
শামীম ভাইয়া তোমার অভিনয় টা অনেক সুন্দর হয়েছে আর,0
সাংবাদিক ভাই আপনি এসব তুলে ধরেছেন আমার মনে হয় আপনাকে ও মেরে ফেলতে পারে আওয়ামী লীগ আপনি সাবধানে থাকবেন,2
আজকাল তো রাজশাহীর মানুষ জন মেসেজ ও সিন করে না আম দেওয়ার ভয়ে,1
এদের শিকড়সহ টেনে উপ্রে ফেলতে হবে,0
কিন বে ভারত বাংলাদেশের মিডিয়া তোদের স্যামসা কি। আরতো বিশ্বের কনো মিডায়া দেখিনা,2
ভালো লাগছে কারন শেষ টা ভালো ছিলো,0
বাংলাদেশী হিন্দুরা ভারতে এসে একথা বলে। কই এইসব খবর কোনদিনই ছাপেন না তো। অন্য দেশের মিথ্যা কথা ছেপে নিজের দেশের দোষ ঢাকেন? কি চমৎকার নিজের মুখে চুন কালি রেখে অন্যের মুখে চুন কালি মাখছেন?,2
গরুতে সমস্যা কিন্তু বিফ এ কোন সমস্যা নাই,1
কার স্বপ্ন ছিল না হিমু রুপা হবার?,0
এর সেরা নাটক নিশো ভাই আপনাকে আরা চাই,0
এই নাটক দেখে চোখে পানি আসছে খুব সুন্দর হয়েছে,0
খুব সুন্দর নাটকটা সেসের দিকে চোখের পানি এসে গেল,0
"ভিডিও টা সত্যি খুব ভালো লেগেছে, কিন্তু কোয়েল মল্লিক জুতো মারল কোথায় ",0
নৌকা ডোবার সময় কারো হুশ থাকবে না - মির্জা ফখরুল,2
পিছনের বড় বিল্ডিং টা তর পুটকির ভিতরে ঢুকানো দরকার,1
"এখন পর্যন্ত এই আমাদের সবচেয়ে যে জিনিসটা আনউজড রয়েছে, তা হলো মস্তিষ্ক",0
মেডেল ফেরত নেয়া হলো,0
প্রথম আলো তে যারা চাকরি করে তাদের সবার মায়ের গনোরিয়া ছিল যখন তারা তাদের মায়ের গর্ভে ছিল। সেলিম ওসমান এর কোথায় ঠিক এক নম্বর এর খানকির পোলা,1
ওরে জ্বালিয়ে দেয়,2
সৌভিক তোর কালো পাছার দাগ টা কি গেছে?,1
নাটকটা আনেক সুন্দর অমার আনেক ভালো লাগেছো💔💔💔💔,0
নাটক ভালো লাগছেকিন্তুু শিক্ষা গ্রহন করার কিছু নাই,0
সাফা তুমি শেষ,2
লেভেল দেখতে আইডি ঘুরে এসেও আপার লেভেল খুঁজে পেলাম না৷,1
" আপনারে কি খাইয়া দিছে
",1
বিএনপি জামায়াত্যা রাজাকারের লতা সন্তানেরা বেশি লাফাইসনা সামনে আয় ঠেং বেঙ্গে হাতে ধরিয়ে দিবো,2
"অস্ত্রের হিসাব, থানায় না থাকলেও এদের কাছে ছিল... তাও আপ টু ডেট",0
"সে উত্তর দিলো, ‘থ্যাংক ইউ ভাই’",0
আমি তোরে সামনে পাইলে জুতা দিয়ে মারতাম,2
এদের দেখে মনে হচ্ছে মানসিক প্রতিবন্ধি,1
সুন্দর একটা নাটক এর জন্য ধন্যবাদ ভাই,0
তানজিন তিশা আপুর সংগে আরফান নিশো ভাইয়াএই জুটি টা আমার কাছে অসাধারন লাগে দুই জনার সংগে মিলেও একদম পারফেক্ট নাটক টি সুন্দর হয়েছেবরাবরই তানজিন তিশা আপুর নিশো ভাইয়ের অভিনয় আমার কাছে সেরা অভিনয়ধন্যবাদ,0
ভাই কিছুই বলার নাই বেষ্ট এইটা ভাই বেষ্ট ভালোবাসি নিশো ভাই,0
মাথার ঘাম পায়ে ফেলে এরা কাজ করে... মনের মধ্যে কমলতায় ভরা,0
খানকির পোলা রোহিঙ্গারা বাংলাদেশে ঢুকলে কি তোর কোন সমস্যা???,2
ভজনবাবু ভোজন করতে গেছেন নেকামী করে করে হাফিয়ে গেছেন তাই এত ভাড়ামো দেখালে দর্শকরাও একদিন বিদেয় নেবে এক নম্বরের ভাড়ামো নেকা ষষ্ঠী সিরিয়াল,1
শেষাবধি বেইমান হিসেবেই শপথ নিলেন এরশাদ,1
যে বছর টমেটোর ফলন কম হয়... সে বছরই কেন জানি আমাদের টমেটো প্রীতি বেড়ে যায়... সব তরকারিতেই টমেটো দিতে হবে তখন আমাদের,0
ভারতে যখন মুসলিমদের ওপর নির্যাতন হয় সেটা কি আপনার বাবায় লিখবে সেই আসায় থাকেন? এসব একতরফা লেখালেখি বন্ধ করেন পারলে সবার দোষ তুলে ধরেন। ধন্যবাদ,1
আমার দেখা জীবনের শ্রেষ্ঠ নাটক আজও ভুলতে পারিনি তোমাকে টা বছর ধরে শুধু তোর কথাই আমাকে বার বার কাদায়,0
কিছু বলার নাই গুরুদেব সেরা ছিল আছে আর থাকবে আমার মনে অপূর্ব ভাই সত্যি অপূর্ব,0
ধর্মান্ধদের জ্ঞান থাকে শিশ্নের আগায়।,2
তুই শালায় এই ডি কি লাগাইছোস,1
তোগোর ধোন টাইনা তোগোর পিছন দিয়া ঢুকামু,2
নাদিয়ার কেক কাঁটা হলো...,0
আমার একখুনি বাচ্চা লাগবে ডায়লগ টা পাগল টাইপের হল না,0
মায়ানমার এমন কি শকতিশালী দেশ যে ভারত বাংলাদেশ পাকিস্তান অভিযান চালাচেছ না।,2
আসলে এই নাটকে নামাজের কথা গুলো তুলে দরার জন্য আপনাদের কে অনেক ধন্যবাদ আমি চাই সব গুলো নাটকে নামাজের বিষয় গুলি তুলে দরবেন নাটকটা অনেক ভালো লাগছে,0
ধেৎ...চলো ফার্মেসি যাই... ওরা হয়ত বুঝবে',0
"সাব্বাস রানু মন্ডল, অতীত মনে রাখিস না, উকুনের ভয় আছে ",1
স্কুল ছুটির পর গেট দিয়ে বের হওয়ার সময পিছন থেকে ধাক্কা দিয়ে বলাতা কে ধাক্কা দিছে রে?,1
ঘুরে দেখালো ডারমাটোলজি বিভাগ,0
মামুনুল হক সাহেবের কিছু হলে দেশের সরকার কেনো কোনো বাম পক্ষ কে ছাড় দেওয়া হবে না,2
আরিপ্পা তোকে চুদনমেনিয়ায় আক্রান্ত রোগী মনে হচ্ছে!,1
ভিখারির হাতে এক টাকা দিয়ে ছেড়ে দেওয়াই ভালো এর থেকে বেশি কিছু করতে গেলে এই রকমই হবেআমিও ঠকে শিখেছি,2
মাকালফল খেতে কোন স্বাদ নাই...আপনি একটা মাকালফল!,1
এই অফারটায় অংকের হিসাবে লাখ ছাড়িয়ে গেলেন ভদ্রমহিলা,0
“আপনি আমার উকিল বাপ হবেন?”,0
ঈদ মোবারক নিশো ভাইয়া নাটক টা দেখে ঈদটা আরো ভালো কাটলো,0
ভারত যদি ভুটানের সাথে খেলে তারপরও আমি ভুটানের সাপোটার কার ভারত জিতলে একটি দেশ জিতে যায় আর ভারত হারলে ত্রিকেটের জয় হয়,2
"হিন্দু বলে কোন ধর্মই নেই ইসলামই একমাত্র পৃথিবীর মধ্যে ধর্ম,তাইতো ইসলাম ধর্ম গ্রহণ করছে।",2
নাস্তিক কে জুতা মেরে রাস্তায় নামা,2
"আমাদের সময়ের ফার্স্ট বয়... যারা বোর্ড স্ট্যান্ড করেছিল, তারা হয়তো ভালো চাকরি করছে... ২/৩ লাখ টাকা বেতন পেয়েই খুশি",0
অামি বুঝিনা ধর্মপ্রান মুসলিমরা কেনো অাপনাকে বাজে মনত্ব্য করছে অাপনি পরকালে বিশ্বাসী হন বা না হন সেটা অাপনার ব্যাপার পরকালে সব মানুষ কে বিশ্বাস করতেই হবে এমন তো নয় যাদের কোপালে হেদায়েত অাছে তারাই একমাত্র বিশ্বাস করবে পরকালে।,2
এই সব পাগল ছাগল ও ইন্টারনেট এ দেখতে হয়।,1
দুটো মানুষ একটা ঘরপরিশেষে একটা অপূর্ব ভালোলাগা,0
এরকম নাটক হলেদেখে আর আফসোস করতে হয় না যে সময়টা বেহুদা নষ্ট করলাম ছিলো অনেক ম্যাসেজ,0
রাত জেগে দেখলাম নাটকটারাত জাগা নিয়ে আফসোস নেইচমৎকার ছিল,0
অসাধারণ একটা নাটক দেখলাম নির্মাতা কে অনেক ধন্যবাদ,0
সত্যি অসাধারন চোখের জল ধরে রাখতেপারলাম না,0
কাজল আরেফিন অমি ভাই আপনার নাটকে নামাজ পরার সীন টা ভালো লাগছে আশা করি সব নাটকে যদি এরকম নামাজের সীন থাকে সবায় দেখতে আরো আগ্রহী হবে,0
বাসা থেকে বের হওয়ার আগে লেক্সাস আমার নতুন কেনা বাটার জুতা খেয়ে ফেলতে নিলো,0
নাটক টা অসাধারন ছিল কিন্তু আমি আসা করি নিসু ভাই আরো ভালো নাটক উপহার দিবে যাহা আরো মনোমুগ্ধকর,0
এমন ভাই থাকার চেয়ে না থাকা অনেক ভালো ছিঃ,0
প্রথমআলো কয়েক দিন পর এরকম নিউজ দিবে যে কটকটি বেগম জোড়ে পাদ দিয়েছেন তার পাদের সুবাসে গোটা ভারত সুবাসিত।যত সব ফালতু নিউজ প্রথম আলোতে দেয়,2
#আপনার_গরুছাগলেরটা_না,0
কিছুক্ষণ অপেক্ষা করে ঘুমিয়ে পড়লাম,0
"তুই একটা টুপি পড়া মাদারচোদ
",2
রক্ত ও পানি একসাথে মিশে না? রক্তে উপাদান হিসেবেই পানির পরিমান সর্বোচ্চ । ও একসাথে মিশে না । কিছুদিন আগে ভারতের শীর্ষস্থানীয় নেতা স্বীকার করে নিয়েছেন ফরাক্কা বাধ ছিল সম্পূর্ণ এটা সবচেয়ে বেশি ক্ষতি করেছে ভারতের বিশেষ করে বিহারের । সালে ভারতের রা এর বিরুদ্ধে মত দিয়েছেন কিন্তু রা শুনেন নাই । যেই সব এলাকা তে আছে সেখানে প্রচুর পরিমাণে জন্মে।ঈশ্বরের উপর মাতব্বরি প্রয়োজন নে,2
এই রানু মন্ডলকে যাস্ট নেওয়া যাচ্ছে নাএকবরে অসহ্য,2
কি অদ্ভুত কি অদ্ভুত,0
মালাউনের বাচ্চারা এবার বুজ ঠেলা কারে কয়,2
ভাই আপনার লেখা হাললুম বই টি কিনতে গিয়েছিলা কিনতে পারিনি দুইশো শত টাকা চায় আমার কাছে একশো শত টাকা ছিলো এখন বই টি কি ভাবে পাবো আপনার বই বলে কথা আমার নিতেই হবে,1
জোশ লাগছে অনেক সুন্দর নাটক ধন্যবাদ সবাই কে,0
ভারতের হিন্দু হলে নিশ্চিত ঢুকতে দিত,2
"মেরে দে মামা! মেরে দে, ইনসেপ্টার ৩০ লাখ টাকা ত্রাণের ২৭ লাখই আত্মসাৎ ",2
শত চেষ্টা করে তুমি ব্যাংক ডাকাত হতে পারবে তবে তারেক জিয়া হতে পারবে না।,1
"আওয়ামী রিমান্ড, গিনেস বুকে রেকর্ডের অপেক্ষায় সাবাশ্ আওয়ামীলীগ, সাবাশ্! ",1
তার মানে আপনাদের কাছে পইড়াই সেরা হইছে ? জয়কলির কোন অবদান নেই আপনাদের কয়েকটা এক্সাম দিলেই ছেরা হয়ে যায় ?,1
হিন্দু ভাইরা এই এই হিন্দু লোকের কথা শুনলে হিন্দু থেকে মুসলিম  হয়ে যাবে,2
আমি কিন্তু আপনাকে কোনো গালি দেই নাই । কিন্তু আপনার দলের লোকই আপনাকে গালি দিছে,1
কি ভাবে তুই ন্যায় বিচার পেলি? তোরতো ফাসি হওয়ার দরকার।,1
ভালো লাগছে অসাধারণ হয়েছে নিসো ভাই,0
তোর মুখে জুতার বাড়ি হারামজাদি,2
"ভাবলাম প্রতিবেদককে ফোন করে জিজ্ঞেস করি, ‘আপনি কি জানেন হিমালয়ের পাদদেশের ১ কিমি কাছেও কেউ হাতাকাটা সোয়েটার পরে যাওয়ার সাহস করে না ঠাণ্ডার ভয়ে। আর আপনার বাবা সিল্কের পায়জামা পরে গুহা থেকে বের হয়ে গুনগুণ করতে করতে মোহাম্মদপুর এসে পড়েছেন দেশ উদ্ধার করতে!!’",0
ভারতে গিয়েও শেষ রক্ষা হলনা কি আর করবেন ভাই,2
মাগী টা চুদা খায় নিয়মিত মনে হচ্ছে।,1
পলাশ ভাইয়ের অভিনয় টা দারুণ হইছে,0
"আর আজকে, একটা সাকসেস স্টোরি ক্রিয়েটের পথে তারা",0
দারুন একটা নাটক এরুকুম নাটক তরি করা দরকার,0
এখন আপনারা অতি বুদ্ধিমানরা কি করে তা কর্তন করার চরম ধৃষ্টতা দেখানোর চেষ্টা করেন ?,1
"মাগি কে এক রাত চাই, আমরা টাকা চাই না",1
নির্বাচনের আগে হচ্ছে না পদ্মা সেতু বড় বড় বুলি দিয়ে কাউয়া এখন ভারতে,1
"“ শুধু একটা গরু, ছোট পিকআপে আনলে পোসায়? ভাড়া কত নিসে?”",0
আমাদের বাংলা দেশে যদি কেহই মূর্তি দেবার চেষ্টা করে এটাকে উপড়ে ফেলতে হবে আমাদের আমাদের,2
জীবন সার্থক মনে হয় আজ নাটকা দেখার পর,0
আগে মর যা বুঝবি তখন,2
পৃথিবীর শ্রেষ্ট সুন্দরী মনে হচ্চে,0
লুচ্চা ধর্ষক শিশুকামী মুহম্মদের সাথে রবীন্দ্রনাথের অনেক মিল আছে।,2
এই একটা মেয়ের গলা হুনলেই বমি আইসা পরে,0
‘কৈ যামু? ... হাঁটি’,0
২ জনের অভিনয় ই অসাধারণ হয়েছে,0
পশ্চিমা দেশগুলো এই স্যু-এর ভয়ে প্রতিনিয়ত থাকে,0
"সে কিছুক্ষণ ভেবে বলবে, “খালি বয়ম কি আসে? নাকি কিনে নিয়ে যামু”",0
বিএনপি এখন হারে হারে বুঝতে পারছে যে ২১শে আগষ্ট গ্রেনেট হামলা তাদের কত বড় ভূল ছিল।,0
বাংলাদেশ সেতুমন্ত্রী ওবায়দুল কাদেরের কাছ থেকে করোনা তাবিজ পড়া নিতে পারেন সুস্থ হতে,1
ওনার তো জন্ম মনে হয় ভারতে ভারতের জন্য কাঁদবেন না বার্মার জন্য কাঁদবে নাকি ।কপালের সিধুর ভুলে গেলেন নাকি ।,2
জুতা খাইয়া লাইনে আইলায় নি।,2
"সময়মতো সব খুলে দেওয়া হবে- তারানা হালিম, না না সব খুলতে হবে না আপনার লজ্জা নাও থাকতে পারে,শুধু ফেসবুক খুইল্লা দেন ",1
আমি বাংলাদেশ থেকে বলছি পায়ের জুতা যতই দামি হোক না কেন সেটা পায়ের মধ্যে মানায়,1
আমি বিশ্বাস করি বাংলাদেশের নাটক পুরোবিশ্বের জন্য একটি নমুনা একটা উদাহরণ আমি এটাও বিশ্বাস করি দেশের ইয়ুথ প্রেজেন্ট জেনারেশনদের জন্য এরকম ক্রিয়েটিভ আর্টিস্টরা যে পরিশ্রম আমাদের একটা সুন্দর জীবনের জন্য উপহার দিয়ে যাচ্ছেন সেগুলোও সারাবিশ্বের জন্য দেখবার বিষয় একটা নাটকের মাধ্যমে সারাজীবন বাস্তবিক প্রেক্ষাপট পরিণতি এসব এতো নিখুঁত ভাবে আনা যায় সেটা কল্পনাতীত ছিল পুরো পৃথিবীতে আর হাজার যায় হোক নাটকের ক্ষেত্তে আমাদের দেশের চেয়ে অন্যান্য দেশ হাজারগুণ পিছিয়ে এবং তাদের শিখবার অনেক কিছু আছে আমাদের কাছ থেকে অল্প বাজেটে এতো সুন্দর ক্রিয়েটিভিটি শুধু বাংলা নাটকেই মিলবে যেখানে অন্যান্য দেশ বিশাল বিশাল বাজেট খরচ করে সিরিয়াল ড্রামা এসব বানিয়ে ইয়ুথকে নষ্ট করার দুর্নাম কুড়াচ্ছে তানজীন তিশা মেহেজাবিন নাদিয়া অপূর্ব ইরফান জোভান আরো অনেকেই অসাধারণত্ব দেখিয়েই চলছে আর বান্না স্যার আর আরিয়ান স্যারের তো অবিশ্বাস্যরকম ক্রিয়েটিভিটি মুগ্ধ করার মতো এই নাটক চোখে জল আনতে বাধ্য করলো আমি কৃতজ্ঞ,0
কঠোর লকডাউনে তুই কুল থাক,1
কনডম এর গোপন ট্রিক্স জানা থাকলে সেক্সের সময় বাড়বেই,0
সত্যি অসাধারণ একটা নাটক অনেক ভালো লাগছে,0
অনেকদিন পর এত সুন্দর টেলিফ্লিম দেখলাম,0
গল্পটা ভিন্ন ভাবে প্রেজেন্টস করাই মুল বিষয়ঈদের দেখা সেরা নাটকআমরা আগামী ঈদেও এর সিকুয়েল চাই,0
"বাবু খাইছো? হ্যাঁ আম্মু কি বললি চুদির ভাই, তর সাথে ব্রেকআপ ",1
যুবলীগ করে মানুষের ক্ষতিকরা ছাড়া আর কোনো কাজে লাগে না,2
গন জাগরেণ নিয়া চুইদা এইটার ভোদের রস বাহির করার দরকার,2
নাটক দারুণ লাগছে সবচেয়ে ভালো লাগছে নামাজ পরে বা নামাজের কথা বলা,0
"এইবার হিন্দুদের বিতারিত করার সময় হয়েছে, আদুরে রাখছি তাই ভাল লাগেনা যুদি ইন্ডিয়ান মুসলিমদের মত অত্যাচার করতাম বলায়তাম লা ইলাহা ইল্লাল্লাহু তাহলে ঠিক হত।",2
তোর দুর্গাকে আমি প্রতি রাতে চুদতাম,2
মিডিয়ার মুখে হক কথা সুনতে পাইলাম মুদি পুরা ভারতকে চোর বানালো।,2
"নুরুকে ভিপি করা হয়েছে শুধুমাত্র প্রধান মন্ত্রির হুকুমে ,যদি নুরুকে ভিপি করা না হইতো ,তাহাহলে দেশে আগুন জ্বলত ।",2
টাইগারদের না বিড়ালদের,1
"তোর কপালে খারাপী আছে, শালা",2
শ্রীজিৎ হচ্ছেন হাতমারা কাশেম আর মিথিলা হচ্ছেন আংগুল মারা পার্বতী তাই দুজনে ঠিক করেছেন দূরদূরান্ত থেকেই হাত মেরে আর আংগুল মেরে তাদের জীবনটা কাটিয়ে দেবেন আর হোয়াটসঅ্যাপে সাইবার করবেন তাইতো এখন শ্রীজিৎ হচ্ছে কলকাতায় মিথিলা হচ্ছে সুইজারল্যান্ডে,1
"মাদারচুত সংসদ পুত্র বলে খুন করবে,,তর পুটকি জলে কেন,,সংসদ পুত্র হলে পালিয়ে গেল কেন জনগনের সামনে জোর গলায় বলতো আমার বাবা এমপি আমি চারপাচটা পথচারী খুন করবই,,তা না করে লেজগুটিয়ে পালালো কেন,,চামচামি করে কত নিছোস,,আল্লাহ্‌ খুনির বিচার করবেই,,ইনশাআল্লাহ",1
টয়া খানকির পোশাকটা খুলে ফেললে ভালো হতো,1
সত্যি অসাধারন একটা নাটক সত্যটাকে তুলে দরা হয়ছে,0
এত শক্তি রাখবে কুথায়।কিছু শক্তি ভারত বন্ধু রাষ্ট্রকে দিয়ে দিলেয় হয়।ফলে অনেক লাভ বান হবে বাংলাদেশ সিমানায় বহু মানুষ মরতে পারবে ভারতের গুলিতে,2
বার ই এবং তের ই এপ্রিল মঙ্গল শাউয়া যাত্রা থুক্কু শোভা যাত্রা হবে বৈশাখের ।,1
এই ধোনের রোহিজ্ঞা খেদায় না কেন?,1
আরে শালারা মুশলিমরা পশু নয়। মালাউনরাই পশু। বৌদ্ধরা কেন তবে মুসলিমদেরকে মারছে,2
সাবিলা নুর চমৎকার অভিনয় করেছে বাস্তবমুখী নাটক,0
বেশী না...  প্রতিদিন ১০ হাজার মানুষকে ফ্রি ইফতার করানো হচ্ছে,0
এলাকার রাজনৈতিক বড় ভাই এবং তার প্রসাব খাওয়া এলাকার চামচা ছোট ভাই,2
ভারতের সেনা প্রধানেরে দেখলে মাথা খারাপ হয়ে যাবে পাকিস্তানের সেনা প্রধানের।,2
ওর নাম নিতে ঘৃণা করছেবেইমান রানু মন্ডল,1
চুদির পো ব্রাজিল টা রে খাইলে রে,1
তুই আসলেই একটা মাদারচুদ। তর পয়দায় তর বাপে ময়দা দেয় নাই।,1
ভারত ম্যাচ জাতার জন্য সব করতে পারে দুর্বল দল হলে চুরি শক্তিশালী দল হলে ভন্ডামি পূজা ৷,2
বাংলদেশে রাজাকারদের সব কিছু গুঁড়িয়ে নিচিহ্ন করে দেশকে অভিসাফ মুক্ত করা এখন সময়ের দাবি,0
অসাধারণ অনেক অনেক অনেক ভালো লেগেছে চোখের জল ঝরবেইঝরবে💔,0
"“ম্যাডাম বললাম তো চিন্তা করবেন না... আমরা যা করা লাগে করছি... এখন মুখে অক্সিজেন দিচ্ছে, আর হাতে স্যালাইন দেয়া হচ্ছে... সে মোটামুটি সুস্থ”",0
প্রান নিয়ে সংশয়ের কয়েক ঘন্টা পরই প্রণহীন চৌদ্দগ্রাম শিবির সভাপতি,0
অনেক সুন্দর একটি কাহিনি ছিল,0
জাতিসংঘ নেতারা কানা সূচির ফাসি চাই,2
আমি প্রায় ৩০ মিনিট থেকে লিফটে... একবার উঠছি আর নামছি,0
এই নাটক টা এজন্য ভালো মনে হইছে যাই হোক নামাজের কথা কখনো বলা হয়,0
"বাশডলা খেয়ে বলে আমি কি করছি, আমি কি করছি।,আবুইল্লা হালা ",1
গুড বেশী গুড নাটক চালিয়ে যাও,0
নামাযের যে বার্তা দেওয়া হয়েছে তা খুবই সুন্দর নাটকগুলোর মাধ্যমে এমন সুন্দর বার্তা দেওয়া উচিত ধন্যবাদ গল্পকারকে এজন্য,0
... আমরা ইউনিক,0
মিউজিক টা দারুণ খুব ভালো লেগেছে নাটক টা,0
বাংলাদেশের ইতিহাসে কলঙ্কজনক এক অধ্যায়ের নাম পিলখানা ট্রাজেডি,2
পাগল ছাগলের গান আর কি বলবো,1
সব মিলিয়ে অনেকটা ভালো হইছে,0
আমরা ছায় ভারতকে ধ্বংস করে কলকাতা দখল করব।,2
"মৃতপ্রায় খাদিজার সাথে নির্লজ্জ সেলফি, মানবতার সাথে আর কত উপহাস করবে এই বেহায়ালীগ নেত্রীরা ",0
"ভারতের ঘটনা নিয়ে সমালোচনা করা ডাকসু ভিপির কাজ নয়, পা চাটা তথ্য মন্ত্রীর বক্তব্য ",1
মিছিলে না গিয়া সাগরপাড়ে কি করোছ বান্দির নাতি!!!,1
তসলিমা নাসরিন এর মতো ভারতে পাঠাতে হবে শুয়োরের বাচ্চারে অবশ্যই দেশদ্রোহী মামলা করা উচিৎ।,2
দেহ থেকে আত্মা বের হয়ে গান শুরু করে ।,0
অনেক ভালো লাগছে নাটকটা অসাধারণ,0
"... এই মাইন্ডসেট থেকে যতদিন না বের হতে পারব, ততদিন এই জেনারেশান ফ্লারিশ করবে না",0
"তুই তুর দেশের না, মা এর নয়, তুই নয় হিন্দুর নয় মোসলিমের, তুই হলি শয়তানের শুধু শয়তানের, হারামযাদা কুত্তার বাচ্ছা। ",2
খানকিরে জোতা মার শুয়ারের বাচ্চা মুদি তোর সামি লাগে এজন্য তুই শোক পালন করছ।আর মায়ানমাররের মুসলিমদের জন্য। তোর কিছুই করার নাই।তুই বলে মুসলিম আমি বলি তুই একটা নাস্তিকে বাচ্চা মুদি তোর বাপ লাগে। তোরে আমরা ভোট দিয়ে ভুল। করছিলাম এখন আমরা সেই ভুলের মাসুল দিচ্চি থার হাসিনা হিন্দু বাবার কোলে ঘুমিয়ে থাক বাবার চেন লম্ভা,2
অলিম্পিক হয় ৪ বছরে এক বার... বাকি পনে ৪ বছর ওদের খোঁজ রাখি আমরা?,0
অনেক সুন্দর একটা নাটক খুবই ভালো লাগলো,0
"ওরা ভালো মানুষ , পেটের দায়ে এরা এসব করছে ",0
এই নাটকটা আমার কাছে অনেক ভালো লাগছে,0
"এ নাস্তিককে জনসাধারণের সামনে ফাঁসি দেয়া হোক,,ওর ৯০%এই মুসলিম দেশে বেঁচে থাকার কোন অধিকার নাই",2
"খানকি মাগি,,,,তরে বহিষ্কার করা হক।,,,,মিডিয়া জগত থেকে",2
নষ্ট ছেলের জুতা পিসি,2
শাকিব ভাইয়া আমরা সকল শাকিবিয়ান চায় আপনি অপারেষণ অগ্নিপথ মুভিটা শেষ করুণ প্লিজ,0
এই পিচে এই রান অতিক্রম করা আর প্রশান্ত মহাসাগরের ভেলায় পাড়ি দেওয়া এক,1
বাংলাদেশ কি ইন্ডিয়ার অঙ্গরাজ্য? র এসে ছোঁ মেরে নিয়ে গেল অনুপ চেটিয়াকে,2
ভাই আপনি কেন ছয় মারতে কষ্ট হয় রাসিল্লা এগুনে যখন ছয় মারে তখন কষ্ট লাগে দরকার হলে খানা বাড়ায় দেন তারপরে ও মানইজ্জত রাখেন ।,1
খাতাম । টাটা । গুড বাই । গায়া ।,1
এই সব পিশাচ শয়তানের দল একটা একটা করছে অঙ্গ কেটে হাসপাতালে নিয়ে মৃত্যু দিতে হবে তবেই বুঝবে আর কি ফাঁসি হলে তো সহজেই মরে যায় যন্ত্রণা অনুভব হলে কি করবে নরকের এই সব সব কীটরা,2
তথাকথিক মানবতাবাদী তাগুত গুষ্ঠি ফ্রান্সের আঙ্গুলের ঘ্রাণ নিচ্ছে,2
অসাধারণ অভিনয় অসাধারণ নাটক ভালো লাগার মতো একটি নাটক,0
এক কথাই অসাধারন বস বলে কথা আরো নাটক চাই,0
গান গুলো নাটকের সাথে মিলে গেছে তাই বেশী ভালো লাগলো,0
জুতা মারি গরুদান মারান!! আপনার আম্মা আব্বার খেলা দেখে কি সিউর হইছিলেন আপনি তাদেরই মেয়ে???,2
"জাতীর কাছে না চাইয়া আল্লাহর কাছে চাও চান্দু। আর যেই কতগা বলছ। কোন স্বীকৃত আলেমের কাছে গিয়ে আল্লাহর নিকট তওবা না করলে কাফের বলে গণ্য হইবা। আর বকা জন্য বিচার দিলানা? বকা না দিয়া তোমারে জুতা দিয়া পেটানো উচিৎ ছিলো সবার। এখন দেখবা এদেশের মানুষ তোমাকে কিভাবে ইগনোর করে। লাফ দিয়া গাছে উঠছিলা পা মাটিতেই ছিলোনা, এইবার পড়ে কোমড় ভাঙার জন্য প্রস্তুতি নিউ সাফা।",2
আসিফ একটা মানসিক রোগীর নাম।,1
